type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,10:00,500101094,500101219,2,,
dispatch,10:00,500101095,500101191,1,,
dispatch,10:00,500101104,500101194,4,,
dispatch,10:00,500101119,500101140,1,,
dispatch,10:00,500101129,500101254,2,,
dispatch,10:00,500101145,500101189,2,,
dispatch,10:00,500101148,500101025,3,,
dispatch,10:00,500101158,500101025,3,,
dispatch,10:00,500101171,500101203,2,,
dispatch,10:00,500101179,500101238,1,,
dispatch,10:00,500101205,500101258,1,,
dispatch,10:00,500101208,500101115,1,,
dispatch,10:00,500101215,500101124,2,,
dispatch,10:00,500101229,500101238,4,,
dispatch,10:00,500101244,500101202,2,,
dispatch,10:00,500101252,500101210,2,,
dispatch,10:30,500101026,500101239,1,,
dispatch,10:30,500101035,500101189,1,,
dispatch,10:30,500101038,500101191,6,,
dispatch,10:30,500101091,500101193,5,,
dispatch,10:30,500101092,500101256,3,,
dispatch,10:30,500101123,500101129,3,,
dispatch,10:30,500101123,500101148,4,,
dispatch,10:30,500101123,500101208,2,,
dispatch,10:30,500101131,500101148,3,,
dispatch,10:30,500101142,500101094,2,,
dispatch,10:30,500101142,500101118,4,,
dispatch,10:30,500101142,500101210,1,,
dispatch,10:30,500101182,500101254,4,,
dispatch,10:30,500101196,500101254,3,,
dispatch,10:30,500101198,500101034,3,,
dispatch,10:30,500101225,500101104,2,,
dispatch,10:30,500101237,500101206,1,,
dispatch,11:00,500101006,500101199,1,,
dispatch,11:00,500101006,500101256,4,,
dispatch,11:00,500101021,500101003,2,,
dispatch,11:00,500101103,500101179,1,,
dispatch,11:00,500101108,500101203,2,,
dispatch,11:00,500101109,500101003,3,,
dispatch,11:00,500101109,500101091,3,,
dispatch,11:00,500101109,500101158,2,,
dispatch,11:00,500101132,500101170,2,,
dispatch,11:00,500101132,500101256,1,,
dispatch,11:00,500101159,500101030,3,,
dispatch,11:00,500101161,500101168,3,,
dispatch,11:00,500101163,500101254,2,,
dispatch,11:00,500101174,500101138,3,,
dispatch,11:00,500101181,500101026,4,,
dispatch,11:00,500101196,500101035,3,,
dispatch,11:00,500101212,500101025,3,,
dispatch,11:00,500101212,500101203,3,,
dispatch,11:00,500101212,500101245,1,,
dispatch,11:30,500101009,500101025,4,,
dispatch,11:30,500101110,500101025,7,,
dispatch,11:30,500101141,500101148,3,,
dispatch,11:30,500101153,500101025,3,,
dispatch,11:30,500101153,500101092,1,,
dispatch,11:30,500101157,500101094,1,,
dispatch,11:30,500101160,500101124,6,,
dispatch,11:30,500101184,500101210,4,,
